2020-05-11 00:45:24.908 [,] [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-11 00:45:24.920 [,] [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-11 00:45:30.990 [,] [main] INFO  c.z.h.HikariDataSource - [close,350] - HikariPool-1 - Shutdown initiated...
2020-05-11 00:45:31.024 [,] [main] INFO  c.z.h.HikariDataSource - [close,352] - HikariPool-1 - Shutdown completed.
2020-05-11 00:45:32.201 [,] [main] INFO  c.g.DemoGatewayApplication - [logStarted,61] - Started DemoGatewayApplication in 22.062 seconds (JVM running for 23.271)
2020-05-11 00:45:38.479 [,] [reactor-http-nio-3] INFO  c.g.u.f.HmacCheckFilter - [lambda$filter$1,77] - name=public%20class%20AuthGlobalFilter%20implements%20GlobalFilter%2C%20Ordered&sex=public%20class%20AuthGlobalFilter%20implements%20GlobalFilter%2C%20Ordered
2020-05-11 00:45:38.926 [,] [reactor-http-nio-3] INFO  c.g.u.f.PowerCheckFilter - [filter,91] - POST
2020-05-11 00:45:39.068 [,] [reactor-http-nio-4] INFO  c.g.u.f.PowerCheckFilter - [filter,91] - POST
2020-05-11 00:46:00.142 [,] [main] INFO  c.g.DemoGatewayApplication - [logStartupProfileInfo,655] - The following profiles are active: api,db
2020-05-11 00:46:02.901 [,] [main] INFO  o.h.j.i.u.LogHelper - [logPersistenceUnitInformation,31] - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-05-11 00:46:03.071 [,] [main] INFO  o.hibernate.Version - [logVersion,44] - HHH000412: Hibernate ORM core version 5.4.12.Final
2020-05-11 00:46:03.394 [,] [main] INFO  o.h.a.common.Version - [<clinit>,49] - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-05-11 00:46:03.918 [,] [main] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
2020-05-11 00:46:05.350 [,] [main] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
2020-05-11 00:46:05.397 [,] [main] INFO  o.h.dialect.Dialect - [<init>,172] - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2020-05-11 00:46:08.027 [,] [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - [initiateService,52] - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-05-11 00:46:09.302 [,] [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-11 00:46:09.316 [,] [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-11 00:46:13.968 [,] [main] INFO  c.g.DemoGatewayApplication - [logStarted,61] - Started DemoGatewayApplication in 16.573 seconds (JVM running for 17.932)
2020-05-11 00:46:59.166 [,] [reactor-http-nio-3] INFO  c.g.u.f.HmacCheckFilter - [lambda$filter$1,77] - name=public%20class%20AuthGlobalFilter%20implements%20GlobalFilter%2C%20Ordered&sex=public%20class%20AuthGlobalFilter%20implements%20GlobalFilter%2C%20Ordered
2020-05-11 00:47:07.199 [,] [main] INFO  c.g.DemoGatewayApplication - [logStartupProfileInfo,655] - The following profiles are active: api,db
2020-05-11 00:47:09.663 [,] [main] INFO  o.h.j.i.u.LogHelper - [logPersistenceUnitInformation,31] - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-05-11 00:47:09.787 [,] [main] INFO  o.hibernate.Version - [logVersion,44] - HHH000412: Hibernate ORM core version 5.4.12.Final
2020-05-11 00:47:10.037 [,] [main] INFO  o.h.a.common.Version - [<clinit>,49] - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-05-11 00:47:10.476 [,] [main] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
2020-05-11 00:47:11.813 [,] [main] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
2020-05-11 00:47:11.860 [,] [main] INFO  o.h.dialect.Dialect - [<init>,172] - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2020-05-11 00:47:14.259 [,] [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - [initiateService,52] - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-05-11 00:47:15.278 [,] [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-11 00:47:15.287 [,] [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-11 00:47:19.920 [,] [main] INFO  c.g.DemoGatewayApplication - [logStarted,61] - Started DemoGatewayApplication in 15.176 seconds (JVM running for 16.172)
2020-05-11 00:47:25.165 [,] [reactor-http-nio-3] INFO  c.g.u.f.HmacCheckFilter - [lambda$filter$1,70] - 靠到底是什么类型:application/x-www-form-urlencoded
2020-05-11 00:47:25.166 [,] [reactor-http-nio-3] INFO  c.g.u.f.HmacCheckFilter - [parseBodyInfo,341] - name=public%20class%20AuthGlobalFilter%20implements%20GlobalFilter%2C%20Ordered&sex=public%20class%20AuthGlobalFilter%20implements%20GlobalFilter%2C%20Ordered
2020-05-11 00:47:25.241 [,] [reactor-http-nio-3] INFO  c.g.u.f.HmacCheckFilter - [lambda$filter$1,73] - 排序之后的字符串:[Ljava.lang.String;@4059e9fb
2020-05-11 00:47:25.241 [,] [reactor-http-nio-3] INFO  c.g.u.f.HmacCheckFilter - [lambda$filter$1,78] - name=public%20class%20AuthGlobalFilter%20implements%20GlobalFilter%2C%20Ordered&sex=public%20class%20AuthGlobalFilter%20implements%20GlobalFilter%2C%20Ordered
2020-05-11 00:47:25.577 [,] [reactor-http-nio-3] INFO  c.g.u.f.PowerCheckFilter - [filter,91] - POST
2020-05-11 00:47:25.742 [,] [reactor-http-nio-4] INFO  c.g.u.f.PowerCheckFilter - [filter,91] - POST
